,Trial,Size,Comparisons,Swaps,QuickSort duration,Trial,Size,Comparisons,Swaps,Merge duration,Trial,Size,Comparisons,Swaps,Insert duration
47,0.0,4800.0,33084.0,36275.0,0.334730863571167,0.0,4800.0,28480.0,33279.0,0.4321150779724121,0.0,4800.0,4799.0,0.0,0.055567026138305664
48,0.0,4900.0,35725.0,38999.0,0.3968360424041748,0.0,4900.0,29124.0,34023.0,0.3493800163269043,0.0,4900.0,4899.0,0.0,0.04510498046875
49,0.0,5000.0,33449.0,36782.0,0.32976579666137695,0.0,5000.0,29804.0,34803.0,0.3115839958190918,0.0,5000.0,4999.0,0.0,0.05840897560119629
50,0.0,5100.0,34465.0,37875.0,0.40126585960388184,0.0,5100.0,30540.0,35639.0,0.4048733711242676,0.0,5100.0,5099.0,0.0,0.05060410499572754
51,0.0,5200.0,38594.0,42041.0,0.44661402702331543,0.0,5200.0,31120.0,36319.0,0.36671018600463867,0.0,5200.0,5199.0,0.0,0.045623064041137695
52,0.0,5300.0,36940.0,40463.0,0.38246798515319824,0.0,5300.0,31720.0,37019.0,0.7108058929443359,0.0,5300.0,5299.0,0.0,0.1518871784210205
53,0.0,5400.0,38028.0,41612.0,0.9061291217803955,0.0,5400.0,32380.0,37779.0,0.7044432163238525,0.0,5400.0,5399.0,0.0,0.05221199989318848
54,0.0,5500.0,41039.0,44712.0,0.5262980461120605,0.0,5500.0,33052.0,38551.0,0.5193109512329102,0.0,5500.0,5499.0,0.0,0.062108755111694336
55,0.0,5600.0,38649.0,42405.0,0.5569531917572021,0.0,5600.0,33776.0,39375.0,0.7430069446563721,0.0,5600.0,5599.0,0.0,0.14341497421264648
56,0.0,5700.0,44891.0,48667.0,0.6818718910217285,0.0,5700.0,34452.0,40151.0,0.6119379997253418,0.0,5700.0,5699.0,0.0,0.06256294250488281
57,0.0,5800.0,41660.0,45501.0,0.5513572692871094,0.0,5800.0,35140.0,40939.0,0.5042440891265869,0.0,5800.0,5799.0,0.0,0.05240607261657715
58,0.0,5900.0,41908.0,45855.0,0.5339000225067139,0.0,5900.0,35908.0,41807.0,0.5534870624542236,0.0,5900.0,5899.0,0.0,0.056227684020996094
