,Trial,Size,Comparisons,Swaps,QuickSort duration
166,1.0,6700.0,46653.0,51108.0,1.244826078414917
167,1.0,6800.0,52241.0,56782.0,1.3391728401184082
168,1.0,6900.0,49149.0,53765.0,1.0407240390777588
169,1.0,7000.0,46789.0,51448.0,1.0769600868225098
170,1.0,7100.0,52846.0,57602.0,1.2834770679473877
171,1.0,7200.0,59358.0,64131.0,1.2533659934997559
172,1.0,7300.0,56427.0,61313.0,1.1913132667541504
173,1.0,7400.0,55128.0,60060.0,1.2256040573120117
174,1.0,7500.0,55630.0,60650.0,1.2401800155639648
175,1.0,7600.0,64331.0,69365.0,1.4402430057525635
176,1.0,7700.0,53469.0,58617.0,1.1846282482147217
177,1.0,7800.0,61040.0,66252.0,1.2746317386627197
178,1.0,7900.0,57500.0,62748.0,1.185711145401001
179,1.0,8000.0,55537.0,60873.0,1.1719691753387451
180,1.0,8100.0,63456.0,68858.0,1.3006861209869385
181,1.0,8200.0,64427.0,69903.0,1.3281960487365723
182,1.0,8300.0,62261.0,67816.0,1.3732929229736328
183,1.0,8400.0,55671.0,61265.0,1.495823860168457
184,1.0,8500.0,73020.0,78651.0,2.3297019004821777
185,1.0,8600.0,66476.0,72232.0,1.7798080444335938
186,1.0,8700.0,65166.0,70981.0,2.5310890674591064
187,1.0,8800.0,63585.0,69459.0,2.1383910179138184
188,1.0,8900.0,71547.0,77451.0,2.2827510833740234
189,1.0,9000.0,71424.0,77464.0,1.7894480228424072
190,1.0,9100.0,68961.0,75024.0,1.7893171310424805
191,1.0,9200.0,74985.0,81089.0,1.7571959495544434
192,1.0,9300.0,62788.0,68995.0,1.4941668510437012
193,1.0,9400.0,65356.0,71645.0,2.7741827964782715
194,1.0,9500.0,71367.0,77697.0,0.8680310249328613
195,1.0,9600.0,65185.0,71606.0,0.6883089542388916
196,1.0,9700.0,77079.0,83536.0,0.904447078704834
197,1.0,9800.0,79937.0,86455.0,0.985569953918457
198,1.0,9900.0,81453.0,88065.0,0.9550449848175049
199,1.0,10000.0,72177.0,78850.0,0.982064962387085
200,2.0,100.0,359.0,426.0,0.0027818679809570312
201,2.0,200.0,851.0,985.0,0.0072021484375
202,2.0,300.0,1458.0,1654.0,0.018492937088012695
203,2.0,400.0,1937.0,2200.0,0.017053842544555664
