,Trial,Size,Comparisons,Swaps,Merge duration
195,1.0,9600.0,61760.0,71359.0,0.9419131278991699
196,1.0,9700.0,62476.0,72175.0,0.9400067329406738
197,1.0,9800.0,63148.0,72947.0,0.970667839050293
198,1.0,9900.0,63840.0,73739.0,0.9152235984802246
199,1.0,10000.0,64608.0,74607.0,1.0028469562530518
200,2.0,100.0,316.0,415.0,0.004399776458740234
201,2.0,200.0,732.0,931.0,0.007223844528198242
202,2.0,300.0,1180.0,1479.0,0.01446080207824707
203,2.0,400.0,1664.0,2063.0,0.021818161010742188
204,2.0,500.0,2216.0,2715.0,0.02631211280822754
205,2.0,600.0,2660.0,3259.0,0.028172016143798828
206,2.0,700.0,3172.0,3871.0,0.03803110122680664
207,2.0,800.0,3728.0,4527.0,0.04329419136047363
208,2.0,900.0,4304.0,5203.0,0.049031972885131836
209,2.0,1000.0,4932.0,5931.0,0.06387209892272949
210,2.0,1100.0,5420.0,6519.0,0.06181216239929199
211,2.0,1200.0,5920.0,7119.0,0.06600284576416016
212,2.0,1300.0,6480.0,7779.0,0.07187294960021973
213,2.0,1400.0,7044.0,8443.0,0.08072996139526367
214,2.0,1500.0,7664.0,9163.0,0.09497404098510742
215,2.0,1600.0,8256.0,9855.0,0.09178018569946289
216,2.0,1700.0,8836.0,10535.0,0.09633898735046387
217,2.0,1800.0,9508.0,11307.0,0.10900402069091797
218,2.0,1900.0,10144.0,12043.0,0.11454010009765625
219,2.0,2000.0,10864.0,12863.0,0.11400413513183594
220,2.0,2100.0,11456.0,13555.0,0.12771296501159668
221,2.0,2200.0,11940.0,14139.0,0.13356709480285645
222,2.0,2300.0,12512.0,14811.0,0.23147201538085938
223,2.0,2400.0,13040.0,15439.0,0.15055584907531738
224,2.0,2500.0,13652.0,16151.0,0.18134403228759766
225,2.0,2600.0,14260.0,16859.0,0.18555021286010742
226,2.0,2700.0,14840.0,17539.0,0.19027400016784668
227,2.0,2800.0,15488.0,18287.0,0.1995546817779541
228,2.0,2900.0,16120.0,19019.0,0.20270323753356934
229,2.0,3000.0,16828.0,19827.0,0.22664999961853027
230,2.0,3100.0,17528.0,20627.0,0.22247600555419922
231,2.0,3200.0,18112.0,21311.0,0.26241374015808105
232,2.0,3300.0,18728.0,22027.0,0.264545202255249
233,2.0,3400.0,19372.0,22771.0,0.26378965377807617
234,2.0,3500.0,20064.0,23563.0,0.23398590087890625
235,2.0,3600.0,20816.0,24415.0,0.28954291343688965
236,2.0,3700.0,21468.0,25167.0,0.5185048580169678
237,2.0,3800.0,22188.0,25987.0,0.7203330993652344
238,2.0,3900.0,22940.0,26839.0,0.4214611053466797
239,2.0,4000.0,23728.0,27727.0,0.4128599166870117
240,2.0,4100.0,24584.0,28683.0,0.35007190704345703
241,2.0,4200.0,25012.0,29211.0,0.410524845123291
242,2.0,4300.0,25528.0,29827.0,0.42203593254089355
243,2.0,4400.0,26080.0,30479.0,0.28216981887817383
244,2.0,4500.0,26660.0,31159.0,0.30339908599853516
245,2.0,4600.0,27324.0,31923.0,0.29498791694641113
246,2.0,4700.0,27860.0,32559.0,0.3093280792236328
247,2.0,4800.0,28480.0,33279.0,0.42718005180358887
248,2.0,4900.0,29124.0,34023.0,0.41417503356933594
249,2.0,5000.0,29804.0,34803.0,0.3664131164550781
250,2.0,5100.0,30540.0,35639.0,0.4181079864501953
251,2.0,5200.0,31120.0,36319.0,0.4047667980194092
252,2.0,5300.0,31720.0,37019.0,0.3992800712585449
253,2.0,5400.0,32380.0,37779.0,0.5769412517547607
254,2.0,5500.0,33052.0,38551.0,0.41435885429382324
255,2.0,5600.0,33776.0,39375.0,0.40403199195861816
